gene,method,model,coef,estimate,p.val,interaction,adj.p,log2fc,fcthreshold
ENSG00000038427,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.5456612299155583,3.521535093728982e-5,TRUE,0.03298577903107266,0.7872227504045485,s
ENSG00000049540,rsem,lib_size_normalized,timew2pre:setsmultiple,0.7339718983787482,4.901412095598965e-5,TRUE,0.04887984002342055,1.0588976179428782,s
ENSG00000049540,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.8588920343267071,1.595767739584226e-5,TRUE,0.029687809015664392,1.2391192785821739,s
ENSG00000077009,rsem,lib_size_normalized,timew2pre:setsmultiple,0.6790587854684338,5.213656791476236e-6,TRUE,0.02604569144461812,0.9796747422673919,s
ENSG00000077009,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.7665549924480478,1.4883980554161024e-6,TRUE,0.011153310828260564,1.1059050861734754,s
ENSG00000084731,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.3524277143655755,4.6315467137591006e-5,TRUE,0.034822781782458165,0.5084457157870479,s
ENSG00000092445,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.417720069247166,1.1098160678799511e-4,TRUE,0.04978843209343681,0.6026426723826808,s
ENSG00000105926,rsem,naive,timew2pre:setsmultiple,-0.49816221467017174,1.298890862795933e-6,TRUE,0.009733238680361325,-0.71869615666292,s
ENSG00000105926,rsem,lib_size_normalized,timew2pre:setsmultiple,-0.3497457200506742,1.545789370979041e-5,TRUE,0.033095350432661264,-0.5045764158892474,s
ENSG00000115414,rsem,lib_size_normalized,timew2pre:setsmultiple,0.43620421845137564,4.692087068253837e-5,TRUE,0.04887984002342055,0.6293096627746457,s
ENSG00000115414,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.5515236837028812,1.7828136460998167e-005,TRUE,0.029687809015664392,0.7956804834109599,s
ENSG00000134871,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.42571262546680155,5.1540834663651994e-5,TRUE,0.035147226425837556,0.6141734936047752,s
ENSG00000135437,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.38215114536214884,9.243108831678613e-5,TRUE,0.047767748986333576,0.5513275622840096,s
ENSG00000137573,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.42375246652595683,8.42340159571412e-5,TRUE,0.04508625704105983,0.6113455820214644,s
ENSG00000138615,rsem,lib_size_normalized,timew2pre:setsmultiple,0.3897357376325946,1.3987186068687857e-5,TRUE,0.033095350432661264,0.5622698159397465,s
ENSG00000138615,rsem,tissue_offset_lib_size_normalized,timew2pre:setsmultiple,0.4914995499408925,6.464282931741959e-6,TRUE,0.02324402961942979,0.709083963298883,s
